epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,517.144,1.50173,0.79997,0.8428,0.77052,0.44929,0.58603,0.24689,1.702,0.91275,1.05016,0.0006338,0.0006338,0.0006338
71,524.075,1.49705,0.79356,0.83349,0.70213,0.42958,0.53996,0.21584,1.72903,1.03979,1.01158,0.000614,0.000614,0.000614
72,531.04,1.55992,0.8692,0.84429,0.74787,0.46479,0.59162,0.2438,1.82546,1.0122,1.07171,0.0005942,0.0005942,0.0005942
73,537.988,1.45831,0.76102,0.86247,0.72725,0.39432,0.54998,0.24251,1.66589,1.20769,1.01059,0.0005744,0.0005744,0.0005744
74,546.726,1.43612,0.76851,0.8319,0.77748,0.40845,0.57166,0.25174,1.62046,1.09389,0.9797,0.0005546,0.0005546,0.0005546
75,553.743,1.38828,0.75912,0.84027,0.63325,0.4256,0.48972,0.21338,1.67549,1.26602,1.04941,0.0005348,0.0005348,0.0005348
76,560.765,1.44363,0.76331,0.84669,0.7445,0.43662,0.56879,0.25024,1.65312,1.08848,1.0301,0.000515,0.000515,0.000515
77,567.814,1.46889,0.75977,0.83612,0.76481,0.37324,0.49979,0.22259,1.72132,1.48147,1.06668,0.0004952,0.0004952,0.0004952
78,574.892,1.40331,0.72714,0.83534,0.69206,0.38028,0.54794,0.25179,1.65159,1.36187,1.01418,0.0004754,0.0004754,0.0004754
79,583.718,1.47283,0.74874,0.82045,0.69371,0.42254,0.5486,0.25481,1.69389,1.44427,1.07757,0.0004556,0.0004556,0.0004556
80,590.739,1.45217,0.77462,0.8323,0.70855,0.39437,0.54234,0.24105,1.71518,1.17722,1.03373,0.0004358,0.0004358,0.0004358
81,597.698,1.40524,0.71645,0.81551,0.72185,0.40208,0.54087,0.24216,1.64211,1.2801,1.01767,0.000416,0.000416,0.000416
82,604.624,1.38545,0.72143,0.83181,0.73349,0.41549,0.58661,0.26199,1.5997,1.27762,1.00822,0.0003962,0.0003962,0.0003962
83,611.622,1.40267,0.73955,0.83729,0.71784,0.42254,0.55576,0.25394,1.61683,1.0892,1.01102,0.0003764,0.0003764,0.0003764
