frame,processing_time_ms,detected_keypoints,confidence_scores
103,110.5191707611084,13,"[0.6959332823753357, 0.658611536026001, 0.6030042767524719, 0.5598621964454651, 0.49251627922058105, 0.23933960497379303, 0.1342996060848236, 0.2673288583755493, 0.6995977759361267, 0.8206799030303955, 0.23431545495986938, 0.7151838541030884, 1.0049529075622559]"
104,101.16839408874512,13,"[0.7124987244606018, 0.6798102259635925, 0.5920765399932861, 0.5849359631538391, 0.48243188858032227, 0.15047550201416016, 0.122218057513237, 0.23412933945655823, 0.707149863243103, 0.8521310091018677, 0.3294619619846344, 0.7401092648506165, 1.0048774480819702]"
105,103.51729393005371,13,"[0.7197641134262085, 0.6722562909126282, 0.5511649250984192, 0.5890139937400818, 0.5109051465988159, 0.2293045073747635, 0.1603492647409439, 0.2579430639743805, 0.7253077626228333, 0.863498866558075, 0.2843106687068939, 0.7493250370025635, 1.0050114393234253]"
106,122.52473831176758,13,"[0.7064396142959595, 0.6740416288375854, 0.4004804491996765, 0.5992386341094971, 0.5255157947540283, 0.20405010879039764, 0.1999760866165161, 0.2512468993663788, 0.7308328151702881, 0.8747199773788452, 0.27148595452308655, 0.7252668738365173, 1.0050241947174072]"
107,120.5451488494873,14,"[0.7124853730201721, 0.6870335340499878, 0.48258671164512634, 0.10857602208852768, 0.6179943680763245, 0.5308809876441956, 0.2384551465511322, 0.17148421704769135, 0.2742730677127838, 0.7417162656784058, 0.8786513805389404, 0.2920893728733063, 0.7281064987182617, 1.0052528381347656]"
108,120.52345275878906,14,"[0.7211891412734985, 0.6460047960281372, 0.5357317328453064, 0.5963162183761597, 0.5360697507858276, 0.23666104674339294, 0.19402413070201874, 0.12945878505706787, 0.27865710854530334, 0.7365848422050476, 0.8759360313415527, 0.3391634523868561, 0.7255970239639282, 1.0052366256713867]"
109,122.03860282897949,14,"[0.7178046703338623, 0.6499269604682922, 0.4629093110561371, 0.6054186820983887, 0.4344126284122467, 0.22582018375396729, 0.17539599537849426, 0.12059048563241959, 0.25740891695022583, 0.7571201324462891, 0.8699604868888855, 0.2793750464916229, 0.7328747510910034, 1.0052428245544434]"
110,120.53179740905762,14,"[0.7191422581672668, 0.5906264781951904, 0.4105144739151001, 0.5892205238342285, 0.4358646869659424, 0.28007251024246216, 0.17159859836101532, 0.15223422646522522, 0.2826562225818634, 0.7381001114845276, 0.8606700301170349, 0.21524101495742798, 0.7036725282669067, 1.0053898096084595]"
111,122.52044677734375,15,"[0.6942702531814575, 0.5950625538825989, 0.38173791766166687, 0.115236297249794, 0.595503568649292, 0.49197202920913696, 0.3300032317638397, 0.1755887269973755, 0.17400282621383667, 0.29879242181777954, 0.7227409482002258, 0.8494299650192261, 0.18824556469917297, 0.6955801844596863, 1.005204439163208]"
112,118.52693557739258,15,"[0.7125169634819031, 0.6537114977836609, 0.5016711950302124, 0.10008914023637772, 0.617802619934082, 0.47857463359832764, 0.321789413690567, 0.1812833696603775, 0.1523171067237854, 0.28422674536705017, 0.730901300907135, 0.8488876819610596, 0.19008880853652954, 0.7306736707687378, 1.0051891803741455]"
113,117.03705787658691,16,"[0.7139679789543152, 0.6601648926734924, 0.5040618181228638, 0.1499222069978714, 0.19538502395153046, 0.619271993637085, 0.448098361492157, 0.2542871832847595, 0.17958618700504303, 0.18261682987213135, 0.2726196348667145, 0.7013667225837708, 0.8522126078605652, 0.1922900378704071, 0.7390785813331604, 1.0050753355026245]"
114,119.26507949829102,15,"[0.7344111204147339, 0.6485520005226135, 0.5387099385261536, 0.10779041051864624, 0.11285913735628128, 0.6026775240898132, 0.4145633578300476, 0.13707335293293, 0.1514318883419037, 0.2261461615562439, 0.6886584758758545, 0.8413171768188477, 0.22120940685272217, 0.7332813143730164, 1.0049608945846558]"
115,106.52637481689453,15,"[0.7045501470565796, 0.657455563545227, 0.5092882513999939, 0.24496611952781677, 0.12119390070438385, 0.6020262241363525, 0.37619125843048096, 0.11869935691356659, 0.15402142703533173, 0.19383405148983002, 0.7280124425888062, 0.8512940406799316, 0.26038745045661926, 0.748961865901947, 1.0056722164154053]"
116,109.51828956604004,14,"[0.7157875299453735, 0.6791438460350037, 0.5391196608543396, 0.4242798089981079, 0.2635931670665741, 0.5999000072479248, 0.3347252309322357, 0.17065125703811646, 0.2032308131456375, 0.726338803768158, 0.8361268639564514, 0.23971888422966003, 0.745733916759491, 1.0055747032165527]"
117,119.52543258666992,14,"[0.7252349853515625, 0.6777529716491699, 0.53546541929245, 0.2648419439792633, 0.12176920473575592, 0.5999302268028259, 0.38818180561065674, 0.17167650163173676, 0.142313152551651, 0.7347992658615112, 0.8318039178848267, 0.19818490743637085, 0.7540007829666138, 1.0055147409439087]"
118,113.52348327636719,15,"[0.7420821785926819, 0.6813777089118958, 0.5324413776397705, 0.2872006297111511, 0.1609055995941162, 0.5967416763305664, 0.4296529293060303, 0.12820938229560852, 0.17535585165023804, 0.128437802195549, 0.7384552955627441, 0.8375885486602783, 0.22375497221946716, 0.764256477355957, 1.0055004358291626]"
119,118.52717399597168,15,"[0.7440117001533508, 0.6840537786483765, 0.5267201066017151, 0.23016446828842163, 0.11626901477575302, 0.5976783633232117, 0.4372473657131195, 0.13766741752624512, 0.1808677762746811, 0.1292671412229538, 0.7432210445404053, 0.8402413129806519, 0.14700880646705627, 0.7664694786071777, 1.005413293838501]"
120,115.52214622497559,13,"[0.7422019243240356, 0.6828535199165344, 0.5132141709327698, 0.19516803324222565, 0.589015543460846, 0.3690614104270935, 0.19829878211021423, 0.14222247898578644, 0.7411405444145203, 0.8390955328941345, 0.14185719192028046, 0.7560592293739319, 1.0054304599761963]"
121,109.52067375183105,16,"[0.747524082660675, 0.699545681476593, 0.5175842046737671, 0.20354029536247253, 0.13276202976703644, 0.5955466628074646, 0.3952515423297882, 0.11203218251466751, 0.20302078127861023, 0.117115817964077, 0.15981192886829376, 0.7363359332084656, 0.8344267010688782, 0.1000317633152008, 0.745470404624939, 1.0054285526275635]"
122,136.10458374023438,15,"[0.7485243678092957, 0.6999579071998596, 0.49490752816200256, 0.33035552501678467, 0.16388271749019623, 0.5863309502601624, 0.436971515417099, 0.13709910213947296, 0.20690219104290009, 0.16802065074443817, 0.762933075428009, 0.8266105651855469, 0.18740636110305786, 0.7431670427322388, 1.0058053731918335]"
123,117.57087707519531,15,"[0.7287294864654541, 0.6949878334999084, 0.554607093334198, 0.21756894886493683, 0.10971711575984955, 0.570694088935852, 0.36903324723243713, 0.11173850297927856, 0.1734687238931656, 0.14720489084720612, 0.7235963940620422, 0.8169975280761719, 0.2733267843723297, 0.7274994850158691, 1.006595253944397]"
124,130.25975227355957,14,"[0.7267739772796631, 0.692658007144928, 0.5088935494422913, 0.253804475069046, 0.20690728724002838, 0.5740875005722046, 0.4041552245616913, 0.1698516607284546, 0.17298780381679535, 0.7121365070343018, 0.8098472356796265, 0.25657692551612854, 0.7222890257835388, 1.0061984062194824]"
125,105.52644729614258,14,"[0.7328954339027405, 0.6505026817321777, 0.45098450779914856, 0.2167113870382309, 0.5837940573692322, 0.41519173979759216, 0.1319451481103897, 0.21712367236614227, 0.20996099710464478, 0.7030694484710693, 0.8014015555381775, 0.16335582733154297, 0.6927036643028259, 1.006060242652893]"
126,124.52149391174316,13,"[0.7270441651344299, 0.6599732041358948, 0.5617612600326538, 0.5854598879814148, 0.38724562525749207, 0.13777610659599304, 0.2260812371969223, 0.25400176644325256, 0.7043212056159973, 0.799747109413147, 0.1593097746372223, 0.6828644871711731, 1.006099820137024]"
127,110.52489280700684,13,"[0.7408031225204468, 0.6550814509391785, 0.5413464307785034, 0.5976099967956543, 0.3777064383029938, 0.11046735942363739, 0.16951395571231842, 0.2161019742488861, 0.721480667591095, 0.7815990447998047, 0.21691790223121643, 0.6866877675056458, 1.0060598850250244]"
128,126.53017044067383,12,"[0.7577826976776123, 0.6324870586395264, 0.5377263426780701, 0.582843542098999, 0.23556335270404816, 0.10050603747367859, 0.13629570603370667, 0.7277581095695496, 0.7810789942741394, 0.15741166472434998, 0.6809505224227905, 1.006059169769287]"
129,107.63263702392578,12,"[0.7518090009689331, 0.6412567496299744, 0.5717851519584656, 0.5665549039840698, 0.31163424253463745, 0.10385313630104065, 0.1300811767578125, 0.7124790549278259, 0.7740370631217957, 0.16023698449134827, 0.6940782070159912, 1.006199836730957]"
130,110.5186939239502,11,"[0.7512788772583008, 0.6452001929283142, 0.5841497182846069, 0.5236955285072327, 0.3691384494304657, 0.10123193264007568, 0.702421247959137, 0.7866311073303223, 0.12740951776504517, 0.6938640475273132, 1.0062000751495361]"
131,109.54046249389648,12,"[0.7460747957229614, 0.6652855277061462, 0.6167532205581665, 0.5356407761573792, 0.4225742518901825, 0.10023124516010284, 0.13660944998264313, 0.7151205539703369, 0.7887635827064514, 0.15197083353996277, 0.6999122500419617, 1.006197452545166]"
132,107.52010345458984,11,"[0.7299188375473022, 0.6346919536590576, 0.538480818271637, 0.5458403825759888, 0.4749322235584259, 0.12486585974693298, 0.1533598005771637, 0.7111519575119019, 0.7848233580589294, 0.7009414434432983, 1.0062023401260376]"
133,105.55052757263184,13,"[0.7333813905715942, 0.6271094083786011, 0.5493704676628113, 0.5734407901763916, 0.5388327240943909, 0.2561112940311432, 0.10848718881607056, 0.14819344878196716, 0.7669386267662048, 0.8070661425590515, 0.14821398258209229, 0.705323338508606, 1.0061876773834229]"
134,107.52344131469727,12,"[0.7318899631500244, 0.6370258927345276, 0.5518919229507446, 0.583461344242096, 0.5158736109733582, 0.1894107460975647, 0.14766252040863037, 0.7783659100532532, 0.818895161151886, 0.12573997676372528, 0.7077968120574951, 1.0061607360839844]"
135,110.22448539733887,12,"[0.7336556315422058, 0.6144359707832336, 0.528832733631134, 0.563534677028656, 0.4645695984363556, 0.20467834174633026, 0.12682534754276276, 0.7773333787918091, 0.8225665092468262, 0.13999025523662567, 0.6903285384178162, 1.0061432123184204]"
136,106.64486885070801,12,"[0.7265987992286682, 0.5699508190155029, 0.5024306178092957, 0.541846752166748, 0.3746793270111084, 0.1071634441614151, 0.11617149412631989, 0.7805482745170593, 0.8207412362098694, 0.13128596544265747, 0.6787236332893372, 1.0061473846435547]"
