frame,processing_time_ms,detected_keypoints,confidence_scores
13,110.5194091796875,10,"[0.7752893567085266, 0.5615766644477844, 0.40536201000213623, 0.4092417061328888, 0.20543032884597778, 0.7863782048225403, 0.7850720882415771, 0.5745531916618347, 0.5429742932319641, 1.00480318069458]"
14,102.51927375793457,11,"[0.7882316708564758, 0.5696349143981934, 0.34070464968681335, 0.43886974453926086, 0.20375046133995056, 0.10852140188217163, 0.7980746626853943, 0.7971252202987671, 0.5557541251182556, 0.5503934025764465, 1.0038981437683105]"
15,111.11831665039062,12,"[0.7834487557411194, 0.5527149438858032, 0.3154207468032837, 0.39967331290245056, 0.17763154208660126, 0.10268968343734741, 0.13182507455348969, 0.8049731254577637, 0.8071802258491516, 0.5596209168434143, 0.5534537434577942, 1.0048011541366577]"
16,108.65092277526855,13,"[0.7626633048057556, 0.6021565794944763, 0.4608016014099121, 0.1555345356464386, 0.4311550557613373, 0.12661680579185486, 0.12170715630054474, 0.1939464956521988, 0.7674354910850525, 0.7988184094429016, 0.616023600101471, 0.5627464652061462, 1.0047214031219482]"
17,105.52358627319336,12,"[0.7424346208572388, 0.5499880313873291, 0.3611786365509033, 0.4076896011829376, 0.22432498633861542, 0.14176055788993835, 0.22014227509498596, 0.7547924518585205, 0.7713028788566589, 0.6193630695343018, 0.5409674644470215, 1.0047483444213867]"
18,108.53433609008789,13,"[0.7318580746650696, 0.5796337723731995, 0.47672685980796814, 0.12204577028751373, 0.47159674763679504, 0.22464823722839355, 0.13930471241474152, 0.23625053465366364, 0.7294172048568726, 0.7612248063087463, 0.6474385857582092, 0.5543047189712524, 1.004733920097351]"
19,110.55684089660645,11,"[0.724018394947052, 0.583488941192627, 0.5002762675285339, 0.4868279993534088, 0.1228167861700058, 0.16771267354488373, 0.739579439163208, 0.7636936902999878, 0.6264339685440063, 0.5591367483139038, 1.005212664604187]"
20,104.53128814697266,12,"[0.7212042808532715, 0.5162758231163025, 0.41923123598098755, 0.48520997166633606, 0.1051362156867981, 0.115754634141922, 0.14596714079380035, 0.7432410717010498, 0.7582665681838989, 0.6265823245048523, 0.5642964243888855, 1.0055851936340332]"
21,113.0363941192627,13,"[0.722720205783844, 0.5870540738105774, 0.4904760420322418, 0.23537512123584747, 0.1497330516576767, 0.5110581517219543, 0.12867070734500885, 0.13674986362457275, 0.7357392311096191, 0.7517066597938538, 0.643607497215271, 0.5590659379959106, 1.0071817636489868]"
22,102.68497467041016,13,"[0.7068209052085876, 0.5417466163635254, 0.4737832844257355, 0.275477796792984, 0.10151743143796921, 0.47358739376068115, 0.18072660267353058, 0.1605585217475891, 0.722227931022644, 0.7371677756309509, 0.6485610008239746, 0.5598543882369995, 1.0068862438201904]"
23,105.5455207824707,12,"[0.7150760889053345, 0.550890326499939, 0.4827081561088562, 0.15353567898273468, 0.5011435747146606, 0.19486673176288605, 0.16037215292453766, 0.728197455406189, 0.7488786578178406, 0.6777592301368713, 0.5741408467292786, 1.0056833028793335]"
24,110.52107810974121,13,"[0.7116377949714661, 0.5420979261398315, 0.45286211371421814, 0.26420003175735474, 0.15656757354736328, 0.5059159994125366, 0.19301044940948486, 0.15965744853019714, 0.7287744283676147, 0.7326425313949585, 0.6557267308235168, 0.5831323862075806, 1.0051593780517578]"
