Timestamp,Distance covered from previous time interval
2024-05-12T20:34:39.864Z,0.22
2024-05-12T20:34:44.869Z,9
2024-05-12T20:34:49.868Z,0.16
2024-05-12T20:34:54.869Z,18
2024-05-12T20:35:00.380Z,0.3
2024-05-12T20:35:05.379Z,0.12
2024-05-12T20:42:41.964Z,0.45
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.49
2024-05-12T20:42:41.964Z,0.34
2024-05-12T20:42:41.964Z,0.4
2024-05-12T20:42:41.964Z,0.1
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:41.964Z,0.16
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.45
2024-05-12T20:42:41.964Z,0.25
2024-05-12T20:42:41.964Z,0.38
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.03
2024-05-12T20:42:41.964Z,0.03
2024-05-12T20:42:41.964Z,0.04
2024-05-12T20:42:41.964Z,0.06
2024-05-12T20:42:41.964Z,0.07
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.18
2024-05-12T20:42:41.964Z,0.04
2024-05-12T20:42:41.964Z,0.19
2024-05-12T20:42:41.964Z,0.2
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.31
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.18
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.27
2024-05-12T20:42:41.964Z,0.28
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.13
2024-05-12T20:42:41.964Z,0.06
2024-05-12T20:42:41.964Z,0.02
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.29
2024-05-12T20:42:41.964Z,0.42
2024-05-12T20:42:41.964Z,0.42
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.27
2024-05-12T20:42:41.964Z,0.2
2024-05-12T20:42:41.964Z,0.15
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.09
2024-05-12T20:42:41.964Z,0.2
2024-05-12T20:42:41.964Z,0.11
2024-05-12T20:42:41.964Z,0.19
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.18
2024-05-12T20:42:41.964Z,0.35
2024-05-12T20:42:41.964Z,0.26
2024-05-12T20:42:41.964Z,0.38
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.25
2024-05-12T20:42:41.964Z,0.28
2024-05-12T20:42:41.964Z,0.34
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.14
2024-05-12T20:42:41.964Z,0.54
2024-05-12T20:42:41.964Z,0.3
2024-05-12T20:42:41.964Z,0.36
2024-05-12T20:42:41.964Z,0.26
2024-05-12T20:42:41.964Z,0.27
2024-05-12T20:42:41.964Z,0.32
2024-05-12T20:42:41.964Z,0.15
2024-05-12T20:42:41.964Z,0.23
2024-05-12T20:42:41.964Z,0.02
2024-05-12T20:42:41.964Z,0.04
2024-05-12T20:42:41.964Z,0.19
2024-05-12T20:42:41.964Z,0.12
2024-05-12T20:42:41.964Z,0.15
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:41.964Z,0.43
2024-05-12T20:42:41.964Z,0.49
2024-05-12T20:42:41.964Z,0.43
2024-05-12T20:42:41.964Z,0.14
2024-05-12T20:42:41.964Z,0.09
2024-05-12T20:42:41.964Z,0.17
2024-05-12T20:42:41.964Z,0.35
2024-05-12T20:42:41.964Z,0.21
2024-05-12T20:42:41.964Z,0.12
2024-05-12T20:42:41.964Z,0.09
2024-05-12T20:42:41.964Z,0.12
2024-05-12T20:42:41.964Z,0.11
2024-05-12T20:42:41.964Z,0.38
2024-05-12T20:42:41.964Z,0.13
2024-05-12T20:42:41.964Z,0.24
2024-05-12T20:42:44.552Z,0.4
2024-05-12T20:42:49.622Z,0.35
2024-05-12T20:42:54.627Z,0.42
2024-05-12T20:42:59.690Z,0.65
2024-05-12T20:43:04.692Z,0.4
2024-05-12T20:43:09.696Z,0.22
2024-05-12T21:00:42.795Z,0.23
2024-05-12T21:00:42.795Z,0.4
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.795Z,0.11
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.12
2024-05-12T21:00:42.795Z,0.05
2024-05-12T21:00:42.795Z,0.23
2024-05-12T21:00:42.795Z,0.32
2024-05-12T21:00:42.795Z,0.4
2024-05-12T21:00:42.795Z,0.58
2024-05-12T21:00:42.795Z,0.48
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.43
2024-05-12T21:00:42.795Z,0.29
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.26
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.12
2024-05-12T21:00:42.795Z,0.16
2024-05-12T21:00:42.795Z,0.12
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.08
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.795Z,0.14
2024-05-12T21:00:42.795Z,0.3
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.11
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.15
2024-05-12T21:00:42.795Z,0.23
2024-05-12T21:00:42.795Z,0.26
2024-05-12T21:00:42.795Z,0.29
2024-05-12T21:00:42.795Z,0.21
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.42
2024-05-12T21:00:42.795Z,0.37
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.07
2024-05-12T21:00:42.795Z,0.16
2024-05-12T21:00:42.795Z,0.15
2024-05-12T21:00:42.795Z,0.31
2024-05-12T21:00:42.795Z,0.32
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.29
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.15
2024-05-12T21:00:42.795Z,0.09
2024-05-12T21:00:42.795Z,0.25
2024-05-12T21:00:42.795Z,0.27
2024-05-12T21:00:42.795Z,0.28
2024-05-12T21:00:42.795Z,0.27
2024-05-12T21:00:42.795Z,0.17
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.11
2024-05-12T21:00:42.795Z,0.22
2024-05-12T21:00:42.795Z,0.14
2024-05-12T21:00:42.795Z,0.06
2024-05-12T21:00:42.795Z,0.16
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.07
2024-05-12T21:00:42.795Z,0.1
2024-05-12T21:00:42.795Z,0.06
2024-05-12T21:00:42.795Z,0.06
2024-05-12T21:00:42.795Z,0.04
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.795Z,0.13
2024-05-12T21:00:42.795Z,0.36
2024-05-12T21:00:42.795Z,0.24
2024-05-12T21:00:42.796Z,0.15
2024-05-12T21:00:42.796Z,0.1
2024-05-12T21:00:42.796Z,0.2
2024-05-12T21:00:42.795Z,0.27
2024-05-12T21:00:42.796Z,0.16
2024-05-12T21:00:42.795Z,0.19
2024-05-12T21:00:42.796Z,0.1
2024-05-12T21:00:42.796Z,0.16
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.796Z,0.13
2024-05-12T21:00:42.796Z,0.19
2024-05-12T21:00:42.796Z,0.11
2024-05-12T21:00:42.796Z,0.26
2024-05-12T21:00:42.796Z,0.41
2024-05-12T21:00:42.796Z,0.53
2024-05-12T21:00:42.796Z,0.55
2024-05-12T21:00:42.796Z,0.4
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.16
2024-05-12T21:00:42.796Z,0.03
2024-05-12T21:00:42.796Z,0.06
2024-05-12T21:00:42.796Z,0.09
2024-05-12T21:00:42.796Z,0.08
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.38
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.32
2024-05-12T21:00:42.796Z,0.2
2024-05-12T21:00:42.796Z,0.4
2024-05-12T21:00:42.796Z,0.37
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.23
2024-05-12T21:00:42.796Z,0.17
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.19
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.796Z,0.22
2024-05-12T21:00:42.796Z,0.03
2024-05-12T21:00:42.796Z,0.44
2024-05-12T21:00:42.796Z,0.34
2024-05-12T21:00:42.796Z,0.31
2024-05-12T21:00:42.796Z,0.29
2024-05-12T21:00:42.796Z,0.36
2024-05-12T21:00:42.796Z,0.19
2024-05-12T21:00:42.796Z,0.47
2024-05-12T21:00:42.796Z,0.26
2024-05-12T21:00:42.796Z,0.44
2024-05-12T21:00:42.796Z,0.37
2024-05-12T21:00:42.796Z,0.36
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.796Z,0.06
2024-05-12T21:00:42.796Z,0.1
2024-05-12T21:00:42.796Z,0.33
2024-05-12T21:00:42.796Z,0.48
2024-05-12T21:00:42.796Z,0.41
2024-05-12T21:00:42.796Z,0.63
2024-05-12T21:00:42.796Z,0.63
2024-05-12T21:00:42.796Z,0.63
2024-05-12T21:00:42.796Z,0.45
2024-05-12T21:00:42.796Z,0.28
2024-05-12T21:00:42.796Z,0.27
2024-05-12T21:00:42.796Z,0.36
2024-05-12T21:00:42.796Z,0.31
2024-05-12T21:00:42.796Z,0.3
2024-05-12T21:00:42.796Z,0.24
2024-05-12T21:00:42.797Z,0.78
2024-05-12T21:00:42.797Z,0.82
2024-05-12T21:00:42.796Z,0.41
2024-05-12T21:00:42.797Z,0.86
2024-05-12T21:00:42.799Z,0.72
2024-05-12T21:00:42.799Z,0.34
2024-05-12T21:00:42.799Z,0.71
2024-05-12T21:00:42.799Z,0.36
2024-05-12T21:00:42.799Z,0.23
2024-05-12T21:00:42.799Z,0.52
2024-05-12T21:00:42.799Z,0.22
2024-05-12T21:00:42.799Z,0.6
2024-05-12T21:00:42.796Z,0.44
2024-05-12T21:00:42.800Z,0.27
2024-05-12T21:00:42.800Z,0.21
2024-05-12T21:00:42.800Z,0.44
2024-05-12T21:00:42.800Z,0.31
2024-05-12T21:00:42.796Z,0.34
2024-05-12T21:00:42.800Z,0.32
2024-05-12T21:00:42.800Z,0.32
2024-05-12T21:00:42.800Z,0.1
2024-05-12T21:00:42.800Z,0.45
2024-05-12T21:00:42.803Z,0.18
2024-05-12T21:00:42.803Z,0.28
2024-05-12T21:00:42.803Z,0.06
2024-05-12T21:00:42.800Z,0.19
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.16
2024-05-12T21:00:42.803Z,0.16
2024-05-12T21:00:42.803Z,0.2
2024-05-12T21:00:42.803Z,0.26
2024-05-12T21:00:42.803Z,0.31
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.17
2024-05-12T21:00:42.803Z,0.23
2024-05-12T21:00:42.803Z,0.21
2024-05-12T21:00:42.803Z,0.19
2024-05-12T21:00:42.803Z,0.22
2024-05-12T21:00:42.803Z,0.25
2024-05-12T21:00:42.803Z,0.22
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.11
2024-05-12T21:00:42.803Z,0.09
2024-05-12T21:00:42.803Z,0.21
2024-05-12T21:00:42.803Z,0.04
2024-05-12T21:00:42.803Z,0.16
2024-05-12T21:00:42.803Z,0.19
2024-05-12T21:00:42.803Z,0.11
2024-05-12T21:00:42.803Z,0.15
2024-05-12T21:00:42.803Z,0.3
2024-05-12T21:00:42.803Z,0.17
2024-05-12T21:00:42.803Z,0.29
2024-05-12T21:00:42.803Z,0.08
2024-05-12T21:00:44.797Z,0.23
2024-05-12T21:00:49.846Z,0.07
2024-05-12T21:00:54.861Z,19
2024-05-12T21:01:00.375Z,0.06
2024-05-12T21:01:05.410Z,0.12
2024-05-12T21:01:10.485Z,0.2
2024-05-12T21:01:10.488Z,8
2024-05-12T21:01:15.487Z,0.07
2024-05-12T21:01:25.493Z,0.03
2024-05-12T21:01:30.552Z,0.16
2024-05-12T21:01:35.619Z,0.13
2024-05-12T21:01:40.623Z,0.16
2024-05-12T21:04:28.298Z,0.26
2024-05-12T21:04:28.298Z,0.14
2024-05-12T21:04:28.298Z,0.21
2024-05-12T21:04:28.298Z,0.03
2024-05-12T21:04:28.298Z,0.29
2024-05-12T21:04:28.298Z,0.3
2024-05-12T21:04:28.298Z,0.17
2024-05-12T21:04:28.298Z,0.08
2024-05-12T21:04:28.298Z,0.08
2024-05-12T21:04:28.298Z,0.2
2024-05-12T21:04:28.298Z,0.11
2024-05-12T21:04:28.298Z,0.24
2024-05-12T21:04:28.298Z,0.15
2024-05-12T21:04:28.298Z,0.17
2024-05-12T21:04:28.298Z,0.28
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.31
2024-05-12T21:04:28.298Z,0.31
